log_volume,percentage_of_total_volume
1.6335762179394493,8.5022847492111919e-06
1.6365736735794507,8.5748285057213815e-06
1.6395100162360436,8.6478742906182946e-06
1.6425901605748288,8.7214202458897316e-06
1.6447297153706089,8.795404820002269e-06
1.647757974039183,8.8698280332485209e-06
1.6504063600289087,8.9447510938811428e-06
1.6529409369235049,9.0201310547954864e-06
1.6533013227414863,9.095763023364134e-06
1.6559011429281005,9.1717295922427787e-06
1.6583548879415777,9.2479786601003551e-06
1.6609307784676324,9.324825077070902e-06
1.662721000059509,9.4019342202019663e-06
1.6646084903487128,9.4793751775797e-06
1.6673436557027976,9.55727079109177e-06
1.669926027786151,9.6356528946928691e-06
1.6720978579357175,9.7221326160578119e-06
1.6744403415587876,9.7936538464671857e-06
1.6770532393748476,9.8733233899945827e-06
1.6797366084009182,9.9534784494776289e-06
1.68133195020886,1.0034064416667696e-05
1.6838403962867641,1.0114992635499949e-05
1.6858846472214184,1.0196381742010539e-05
1.6883151960478231,1.0278157015086827e-05
1.6901960800285136,1.0403825699399054e-05
1.6909386998683771,1.0442746804968446e-05
1.6921783578427996,1.0525387330857959e-05
1.6924120635996434,1.0608153057369526e-05
1.6941434608404009,1.0691093817785133e-05
1.6946051989335686,1.0804033360591354e-05
1.6951532046616791,1.0889489834576008e-05
1.6960713823267408,1.0940871334344123e-05
1.6975909559852784,1.1024501393433492e-05
1.697777724855541,1.1108290536008262e-05
1.6985705650985305,1.119219336931998e-05
1.6988241524464409,1.1276189021442514e-05
1.6989699869642392,1.1360491405508512e-05
1.6989700043360187,1.2266794560735734e-05
1.6989700043360187,1.2266794560735734e-05
1.6989700043360187,1.2266794560735734e-05
1.6989700043360187,1.2266794560735734e-05
1.6989700043360187,1.2266794560735734e-05
1.6989700043360187,1.2266794560735734e-05
1.6989700043360187,1.2266794560735734e-05
1.6989700043360187,1.2266794560735734e-05
1.6989700043360187,1.2266794560735734e-05
1.6989700043360187,1.2266794560735734e-05
1.6990147256791028,1.2284758337361152e-05
1.6995522199496247,1.2368754983645733e-05
1.7005284500161708,1.2453001168458865e-05
1.7020927497745604,1.2537491767513567e-05
1.7037484453067586,1.2622305443876557e-05
1.7055029356204416,1.270744330222406e-05
1.7073225832265955,1.2792939435615041e-05
1.7086545573901561,1.2882742926395084e-05
1.7107089908354076,1.2964835296150298e-05
1.7126424885756262,1.3051374883046187e-05
1.7146550485444043,1.3138302363238444e-05
1.7160033436347992,1.323123755128317e-05
1.7178328838023043,1.3313187238811845e-05
1.7196086661461236,1.3401137366974238e-05
1.721315880605899,1.3491182912519124e-05
1.7232864694737247,1.3578126381193104e-05
1.72490524685914,1.3667180550917233e-05
1.7270582629145472,1.3756613542135503e-05
1.7291603089821839,1.3846482560536272e-05
1.7314842157461516,1.3936819810827283e-05
1.7331414213608241,1.4027560360847952e-05
1.735392297233934,1.411870580433178e-05
1.7375884179787073,1.4210326984850942e-05
1.7398046812588035,1.4302525262512664e-05
1.7403626894942439,1.4399790001628987e-05
1.7421974925935781,1.4487476089000973e-05
1.7445958428925217,1.4580565194643441e-05
1.7468900226485016,1.4674165931635045e-05
1.748618943489489,1.4768215653719064e-05
1.7510654232009402,1.4862703943096074e-05
1.7535846673880089,1.4957729213050904e-05
1.7558748556724915,1.5064885951737921e-05
1.7581271688376936,1.514930819498366e-05
1.7606550250574502,1.5245898521739197e-05
1.7630186129073813,1.5343031698069634e-05
1.7650553795118755,1.544063272135938e-05
1.7673560705164559,1.5538745272553776e-05
1.7696179383219544,1.5637372414209645e-05
1.7714779822479183,1.5736484431132927e-05
1.7737517000328249,1.5836067693922708e-05
1.7755376347809571,1.5936516380215712e-05
1.7771069435210283,1.6036532266051391e-05
1.778078861937455,1.6141244313654157e-05
1.7781512503836436,1.6359218220012627e-05
1.7781512503836436,1.6359218220012627e-05
1.7792728429454838,1.6439932421745357e-05
